figure,status,report_asset,plot_ready_dataset,raw_dataset_or_source,generator,critical_note
3.8,exact_dataset,"/home/nearric/Downloads/report/fig_m1_zoomed_skew.pdf","","N1 raw_metrics.csv + N2 raw_metrics.csv","not found","Pooled values reproduce mean 1.611899 and median 1.346000"
3.9,missing_raw,"/home/nearric/Downloads/report/one_sided_excess_detail.pdf","","not found","not found","Appears illustrative; exact 600-second trajectory is not recoverable"
3.10,provenance_mismatch,"/home/nearric/Downloads/report/paper_n3_fig2_wilks_cpu_floor_calibration.pdf","outputs/step76/20260703T102820Z/v5_frozen_gate_manifest.json","N1 + N2 + N3 raw_metrics.csv","IEEE_CCNC_PAPER_FIGURES_STUDIO/paper_n3_fig2_wilks_cpu_floor_calibration.m","Generator synthesizes 1200 values although caption claims 5400 real pooled values"
4.10,missing_raw,"/home/nearric/Downloads/report/keylime grph.pdf","six aggregate labels recoverable from PDF","not found","not found","No trials sample counts uncertainty or source script found"
4.18,missing_raw,"/home/nearric/Downloads/report/Secure_onboading_graph.png","","not found","not found","Only means/range in report; original two 200-trial series not found"
4.19,exact,"/home/nearric/Downloads/report/fig_falco_containment_latency.pdf","xApps_Attcks/evaluation/kpimon_latency_trials.csv","same 400-trial CSV","exact final generator not found","wrong_rule rows are included as successful containment"
4.20,exact,"/home/nearric/Downloads/report/fig02_falco_containment_and_network_latency.pdf","xApps_Attcks/evaluation/kpimon_latency_trials.csv","same 400-trial CSV","xApps_Attcks/evaluation/figures_matlab/fig_falco_02_containment_and_network_latency.m","Five independently measured mechanism columns"
4.21,exact_alias,"/home/nearric/Downloads/report/n5 and d4 datasets .png","step77_d4_final_scores.csv + step77_n5_final_scores.csv","D4 raw_metrics.csv + N5 20260629T042240Z raw_metrics.csv","fig_c_clean_timelines_d4_n5.m","Report D1 top = collection D4; report D2 bottom = collection N5"
4.22,exact_alias,"/home/nearric/Downloads/report/fig2_a1_development.pdf","step77_r1_fresh_final_scores.csv","R1-CPU-BOUNDED-FRESH-BLIND raw_metrics.csv","fig2_representative_detection_timeline.m","Report A1 = collection R1_FRESH"
4.23,exact_alias_caveat,"/home/nearric/Downloads/report/fig_a2_eval.pdf","step76_r6_v5_scores.csv","R6-STEALTH-COMBINED60M-V1 raw_metrics.csv","fig2e_r6_representative_timeline.m","Report A2 = R6; source quality_summary has final_collection_acceptance=0"
4.24,exact,"/home/nearric/Downloads/report/fig2c_a_stealth_detection_timeline.pdf","step80_scored_a_stealth.csv","A-STEALTH raw_metrics.csv + stealth_phase_timeline.csv","fig2c_a_stealth_representative_timeline.m","Development/boundary dataset"
4.25,exact,"/home/nearric/Downloads/report/fig2d_a_burst_detection_timeline.pdf","step81_scored_a_burst.csv","A-BURST raw_metrics.csv + burst_pulses_timeline.csv","fig2d_a_burst_representative_timeline.m","UTC timeline is required because nominal pulse times drifted"
4.26,exact,"/home/nearric/Downloads/report/fig_latency_overhead.pdf","xApps_Attcks/evaluation/kpimon_t2_trials_clean.csv","same 51-row per-trial CSV","exact final generator not found","Exclude superseded CSVs; plotted containment omits fixed 30-second dwell"
4.27,exact,"/home/nearric/Downloads/report/fig12_t2_cpu_enforcement.pdf","xApps_Attcks/evaluation/kpimon_t2_timeseries.csv","kpimon_t2_timeseries.csv + kpimon_t2_trials_clean.csv","xApps_Attcks/evaluation/figures_matlab/fig_t2_12_cpu_enforcement.m","CPU cap is real enforcement; memory is not capped"
4.28,exact,"/home/nearric/Downloads/report/fig_network_throughput.pdf","xApps_Attcks/evaluation/kpimon_t2_network_throughput_aligned.csv","kpimon_t2_timeseries_network_demo.csv + kpimon_t2_trials_network_demo.csv","xApps_Attcks/evaluation/make_ccnc_extra_figs.py","Separate ten-trial mechanism-verification batch"
4.29,exact,"/home/nearric/Downloads/report/exp1_detector_latency.pdf","experiments/scalability/scalability_matlab_package/exp1_detector_scaling.csv","campaign exp1 detector_cycles/run_summary/workload_accounting CSVs","experiments/scalability/scalability_matlab_package/fig_exp1_detector.m","Raw per-cycle dataset has about 15400 rows"
4.30,exact,"/home/nearric/Downloads/report/exp2_deadline_miss.pdf","experiments/scalability/scalability_matlab_package/exp2_evaluator_scaling.csv","campaign exp2 evaluator_requests/run_summary/xapp_accounting CSVs","experiments/scalability/scalability_matlab_package/fig_exp2_deadline_miss.m","Same experiment as Figure 4.31"
4.31,exact,"/home/nearric/Downloads/report/exp2_saturation.pdf + exp2_latency.pdf","experiments/scalability/scalability_matlab_package/exp2_evaluator_scaling.csv","campaign exp2 evaluator_requests/run_summary/xapp_accounting CSVs","fig_exp2_saturation.m + fig_exp2_latency.m","Two-panel figure"
4.32,exact,"/home/nearric/Downloads/report/exp3_fourlock_vs_K.pdf","experiments/scalability/scalability_matlab_package/exp3_trials.csv","campaign exp3_formal concurrent_containment_raw/trials CSVs","experiments/scalability/scalability_matlab_package/fig_exp3_fourlock.m","24 trials; raw points plus medians"
4.33,exact,"/home/nearric/Downloads/report/overhead_policyengine_threeway.png + overhead_mem.png","experiments/overhead_comparison/components_timeseries.csv","same 1 Hz component time series","experiments/overhead_comparison/build_policyengine_figures.py","overhead_timeseries.csv is a broader configuration and is not this graph's source"
